U,sigma_U,TI
19.4755,1.39848,0.0718071423070011
17.9512,1.7445,0.09718013280449217
16.2735,1.97924,0.12162349832549853
16.2464,1.55289,0.09558363699034864
18.1507,0.914061,0.050359545361886866
16.3762,1.98848,0.12142499480954067
16.3674,0.857085,0.05236537263096155
18.7913,1.16481,0.06198666404133828
17.4056,0.895504,0.05144918876683366
17.9715,1.12889,0.06281556909551234
18.0956,1.51666,0.08381374477773601
18.6694,1.03363,0.055364928706867926
16.0343,0.927134,0.057821919260585115
15.0747,0.820973,0.05446032093507665
15.7692,1.22582,0.07773507850747026
17.9509,1.53008,0.08523695190770379
19.1226,0.974424,0.0509566690721973
18.8707,1.27761,0.06770337083415029
18.2962,1.18375,0.06469922716192435
16.5797,1.18259,0.07132758735079646
17.9599,1.07561,0.05988953167890689
18.8122,0.870481,0.04627215317719352
17.3222,2.16425,0.12494082737758484
17.2431,1.54208,0.08943171471487146
16.7353,1.45812,0.0871284052272741
17.5913,1.19385,0.06786593372860449
18.0755,0.980459,0.054242427595363886
18.0375,1.26411,0.07008232848232848
16.6541,1.60009,0.09607784269339081
18.7967,1.11611,0.05937797592130533
18.289,1.61966,0.08855924326097654
20.1686,1.05408,0.05226341937467151
20.4207,1.23502,0.06047882785604803
20.103,1.83562,0.0913107496393573
20.0719,1.30335,0.06493406204694124
18.3121,1.65015,0.09011254853348333
17.843,1.5984,0.08958134842795494
19.7378,1.36401,0.06910648603187791
18.254,1.60002,0.08765311712501368
17.6066,1.55547,0.08834584757988481
17.671,1.2964,0.07336313734367042
17.5573,1.34504,0.07660859015907913
17.3524,1.47345,0.08491332611050921
16.6452,1.79483,0.10782868334414726
15.5543,2.06415,0.1327060684183795
17.1212,1.27205,0.07429677826320584
17.9124,1.56876,0.08757955382863267
17.1269,1.47729,0.08625553953138046
17.9401,1.07601,0.059977926544445115
17.7899,1.19912,0.06740453853028966
17.258,1.41764,0.0821439332483486
17.3035,1.24,0.07166180252550063
16.7923,1.1335,0.06750117613429964
17.4359,1.13864,0.06530434333759658
18.0118,0.980727,0.05444913889783364
17.0163,1.32059,0.0776073529498187
17.2112,0.896067,0.05206301710514083
15.4601,1.40314,0.09075879198711521
16.2676,1.02568,0.06305048071012317
16.0983,1.22464,0.07607262878689054
16.1176,1.30929,0.08123355834615577
16.2333,1.51523,0.09334084874917609
16.2942,1.50679,0.09247400915663243
16.3774,1.27097,0.0776051143649175
16.9467,1.41197,0.08331828615600677
16.1507,1.22758,0.07600785105289554
16.0745,1.36911,0.08517278920028616
15.863,1.2453,0.07850343566790646
16.2279,1.11936,0.06897750171001792
13.5505,0.89069,0.06573115383196192
15.7189,1.24593,0.079263179993511
14.5209,1.2108,0.08338326136809703
15.1835,1.0792,0.07107715612342344
15.5616,1.35055,0.08678734834464322
15.401,1.4498,0.09413674436724888
15.8264,1.10778,0.06999570338169135
16.3766,1.15063,0.07026061575662837
15.8396,1.27255,0.08033978130760878
16.1234,1.03362,0.06410682610367541
15.9135,1.47804,0.09287963050240361
15.2974,1.25183,0.08183286048609568
15.9406,1.00508,0.0630515789869892
15.678,1.18239,0.07541714504401072
15.8015,1.02927,0.06513748694744169
15.1981,1.30179,0.08565478579559287
14.8553,1.38407,0.0931701143699555
15.5077,1.17017,0.07545735344377309
14.8164,1.17142,0.0790623903242353
14.2871,1.2003,0.0840128507534769
14.6493,1.1288,0.0770548763422143
14.7815,1.04576,0.07074789432736868
15.7687,1.09604,0.06950731512426515
15.6183,1.1893,0.07614785219902294
16.6498,1.01252,0.06081274249540536
16.7073,0.98224,0.05879106737773308
16.7082,1.15246,0.06897571252438922
16.6601,1.17203,0.07034951770997773
15.8186,1.49261,0.09435790777944951
15.7803,1.10275,0.06988143444674688
15.9167,1.08449,0.06813535469035667
16.1757,0.882623,0.054564748357103565
16.5848,0.922257,0.05560856929236409
15.7386,1.24776,0.07928024093629675
15.6434,1.44757,0.09253551018320826
15.311,1.08587,0.07092090653778328
14.2667,1.00173,0.07021455557346828
14.6694,1.53398,0.10457005739839394
15.6409,1.49143,0.09535448727375023
16.0558,1.07948,0.0672330248259196
15.7841,1.11257,0.070486755659176
15.6945,0.984074,0.06270183822358151
14.5204,1.3279,0.09145064874245888
17.7583,1.49359,0.0841065867791399
15.9593,1.07294,0.06722976571654145
15.3592,1.43549,0.0934612479816657
14.7966,1.58678,0.10723950096643824
16.2658,1.01042,0.062119293241033345
16.9104,1.12684,0.0666359163591636
16.6648,1.47005,0.08821287984254238
